    ee          eb          ec          ef        be      bb        bc          bf     ce    cb        cc       cf       fe          fb       fc      ff
EE    12.94    0.08379    0.05453    0.004172    0    0.2601    0.0903    0.161    0.0146    0.2038    0    0    0.01454    0.07652    1.29    0  
EC    0.4311    0.02669    0.1044    0.02786    0    0.01164    0.1846    0.07659    0    0    0.4855    0.7665    0    0    1.019    0  
EF    2.039    0.02638    0    0.7011    0    0.1225    0.001603    0.8004    0    0.04891    0.4523    0.9618    0    0    0    1.096  
CE    0.4263    0    0.01074    0    0    0.01276    0    0.02769    0.03049    0.9931    1.425    1.54    0.004835    0.0224    0    0  
CC    0.0088    0    0.0367    0    0    0.001601    0    0    0    0.001434    1.415    0    0    0    0    0.02918  
CF    0.04092    0    0    0.009151    0    0.003295    0    0.0142    0.01122    0.05003    0    8.101    0.005041    0    0    1.061  
FE    1.534    0    0    0    0    0.0524    0    0.09293    0.004166    0.049    0    0    0.08887    0.7116    0.001838    2.098  
FC    0.05575    0    0    0    0    0.002856    0.0185    0    0    0    0.5262    0    0    0.03131    4.523    1.144  
FF    0.2292    0.02638    0    0.0643    0    0.01215    0    0.2001    0    0    0    2.267    0.004656    0.02696    0.4683    9.952  
